北京,CHXX0008
上海,CHXX0116
天津,CHXX0133
重庆,CHXX0017
安庆,CHXX0452
蚌埠,CHXX0444
合肥,CHXX0448
黄山,CHXX0453
福州,CHXX0031
涵江,CHXX0045
旧镇,CHXX0070
南平,CHXX0471
泉州,CHXX0114
武夷山,CHXX0467
厦门,CHXX0140
永安,CHXX0473
漳州,CHXX0162
敦煌,CHXX0223
酒泉,CHXX0226
兰州,CHXX0079
马鬃山,CHXX0221
天水,CHXX0386
乌鞘岭,CHXX0233
西风镇,CHXX0271
玉门镇,CHXX0224
佛山,CHXX0028
广州,CHXX0037
河源,CHXX0492
惠州,CHXX0053
连县,CHXX0481
梅县,CHXX0486
汕头,CHXX0493
韶关,CHXX0482
深圳,CHXX0120
信宜,CHXX0495
阳江,CHXX0500
湛江,CHXX0163
北海,CHXX0499
桂林,CHXX0434
柳州,CHXX0479
南宁,CHXX0100
梧州,CHXX0490
安顺,CHXX0005
贵阳,CHXX0039
海口,CHXX0502
琼海,CHXX0506
保定,CHXX0308
承德,CHXX0302
石家庄,CHXX0122
唐山,CHXX0131
张家口,CHXX0300
安阳,CHXX0269
开封,CHXX0072
洛阳,CHXX0086
新乡,CHXX0148
信阳,CHXX0149
郑州,CHXX0165
哈尔滨,CHXX0046
漠河,CHXX0171
牡丹江,CHXX0278
嫩江,CHXX0177
广华,CHXX0396
江陵,CHXX0408
武汉,CHXX0138
宜昌,CHXX0407
常德,CHXX0416
长沙,CHXX0013
南岳,CHXX0423
桑植,CHXX0410
湘潭,CHXX0142
岳阳,CHXX0411
浏阳,CHXX0083
长白,CHXX0299
长春,CHXX0010
长岭,CHXX0277
吉林,CHXX0063
临江,CHXX0297
延吉,CHXX0291
常州,CHXX0015
南京,CHXX0099
南通,CHXX0101
徐州,CHXX0437
镇江,CHXX0166
赣州,CHXX0436
广昌,CHXX0470
景德镇,CHXX0457
九江,CHXX0068
庐山,CHXX0456
南昌,CHXX0097
鞍山,CHXX0004
本溪,CHXX0296
朝阳,CHXX0294
大连,CHXX0019
丹东,CHXX0306
抚顺,CHXX0029
锦州,CHXX0067
牛庄,CHXX0105
营口,CHXX0304
沈阳,CHXX0119
百灵庙,CHXX0247
赤峰,CHXX0286
集宁,CHXX0250
林东,CHXX0276
盐池,CHXX0263
银川,CHXX0259
永宁,CHXX0158
河南,CHXX0337
西宁,CHXX0236
济南,CHXX0064
胶县,CHXX0061
青岛,CHXX0110
泰山,CHXX0316
大同,CHXX0251
河曲,CHXX0256
太原,CHXX0129
五台山,CHXX0257
阳城,CHXX0273
阳泉,CHXX0152
安康,CHXX0394
汉中,CHXX0390
华山,CHXX0388
临潼,CHXX0082
西安,CHXX0141
咸阳,CHXX0143
巴塘,CHXX0352
成都,CHXX0016
峨嵋山,CHXX0359
广安,CHXX0036
华阳,CHXX0052
康定,CHXX0358
绵阳,CHXX0351
宜宾,CHXX0362
泸州,CHXX0088
哈巴河,CHXX0195
哈密,CHXX0219
喀什,CHXX0074
米泉,CHXX0095
皮山,CHXX0215
乌鲁木齐,CHXX0135
乌苏,CHXX0136
伊宁,CHXX0203
保山,CHXX0370
大理,CHXX0371
广南,CHXX0477
昆明,CHXX0076
思茅,CHXX0381
元江,CHXX0382
杭州,CHXX0044
湖州,CHXX0056
嘉兴,CHXX0062
绍兴,CHXX0117
温州,CHXX0462
